query,intent
수시,1
수시 알려줘,1
수시 알려주세요,1
수시 알려줘봐,1
수시 알려줘요,1
수시에 대해서 알려줘,1
수시에 대해서 알려주세요,1
수시에 관해서 알려줘,1
수시를 알려줘,1
수시전형 안내하기,1
수시전형 안내하기 알려줘,1
수시전형 안내하기 알려주세요,1
수시전형 안내하기 알려줘봐,1
수시전형 안내하기 알려줘요,1
수시전형 안내하기에 대해서 알려줘,1
수시전형 안내하기에 대해서 알려주세요,1
수시전형 안내하기에 관해서 알려줘,1
수시전형 안내하기를 알려줘,1
수시 전형일정 및 모집 인원 안내,1
수시 전형일정 및 모집 인원 안내 알려줘,1
수시 전형일정 및 모집 인원 안내 알려주세요,1
수시 전형일정 및 모집 인원 안내 알려줘봐,1
수시 전형일정 및 모집 인원 안내 알려줘요,1
수시 전형일정 및 모집 인원 안내에 대해서 알려줘,1
수시 전형일정 및 모집 인원 안내에 대해서 알려주세요,1
수시 전형일정 및 모집 인원 안내에 관해서 알려줘,1
수시 전형일정 및 모집 인원 안내를 알려줘,1
학생부 교과전형 안내,1
학생부 교과전형 안내 알려줘,1
학생부 교과전형 안내 알려주세요,1
학생부 교과전형 안내 알려줘봐,1
학생부 교과전형 안내 알려줘요,1
학생부 교과전형 안내에 대해서 알려줘,1
학생부 교과전형 안내에 대해서 알려주세요,1
학생부 교과전형 안내에 관해서 알려줘,1
학생부 교과전형 안내를 알려줘,1
수시 교과지원,1
수시 교과지원 알려줘,1
수시 교과지원 알려주세요,1
수시 교과지원 알려줘봐,1
수시 교과지원 알려줘요,1
수시 교과지원에 대해서 알려줘,1
수시 교과지원에 대해서 알려주세요,1
수시 교과지원에 관해서 알려줘,1
수시 교과지원를 알려줘,1
수시교과지원,1
수시교과지원 알려줘,1
수시교과지원 알려주세요,1
수시교과지원 알려줘봐,1
수시교과지원 알려줘요,1
수시교과지원에 대해서 알려줘,1
수시교과지원에 대해서 알려주세요,1
수시교과지원에 관해서 알려줘,1
수시교과지원를 알려줘,1
수시 교과,1
수시 교과 알려줘,1
수시 교과 알려주세요,1
수시 교과 알려줘봐,1
수시 교과 알려줘요,1
수시 교과에 대해서 알려줘,1
수시 교과에 대해서 알려주세요,1
수시 교과에 관해서 알려줘,1
수시 교과를 알려줘,1
수시교과,1
수시교과 알려줘,1
수시교과 알려주세요,1
수시교과 알려줘봐,1
수시교과 알려줘요,1
수시교과에 대해서 알려줘,1
수시교과에 대해서 알려주세요,1
수시교과에 관해서 알려줘,1
수시교과를 알려줘,1
교과,1
교과 알려줘,1
교과 알려주세요,1
교과 알려줘봐,1
교과 알려줘요,1
교과에 대해서 알려줘,1
교과에 대해서 알려주세요,1
교과에 관해서 알려줘,1
교과를 알려줘,1
교과지원,1
교과지원 알려줘,1
교과지원 알려주세요,1
교과지원 알려줘봐,1
교과지원 알려줘요,1
교과지원에 대해서 알려줘,1
교과지원에 대해서 알려주세요,1
교과지원에 관해서 알려줘,1
교과지원를 알려줘,1
교과 지원,1
교과 지원 알려줘,1
교과 지원 알려주세요,1
교과 지원 알려줘봐,1
교과 지원 알려줘요,1
교과 지원에 대해서 알려줘,1
교과 지원에 대해서 알려주세요,1
교과 지원에 관해서 알려줘,1
교과 지원를 알려줘,1
학생부 종합전형 안내,1
학생부 종합전형 안내 알려줘,1
학생부 종합전형 안내 알려주세요,1
학생부 종합전형 안내 알려줘봐,1
학생부 종합전형 안내 알려줘요,1
학생부 종합전형 안내에 대해서 알려줘,1
학생부 종합전형 안내에 대해서 알려주세요,1
학생부 종합전형 안내에 관해서 알려줘,1
학생부 종합전형 안내를 알려줘,1
면접평가 안내,1
면접평가 안내 알려줘,1
면접평가 안내 알려주세요,1
면접평가 안내 알려줘봐,1
면접평가 안내 알려줘요,1
면접평가 안내에 대해서 알려줘,1
면접평가 안내에 대해서 알려주세요,1
면접평가 안내에 관해서 알려줘,1
면접평가 안내를 알려줘,1
수시 장학제도 안내,1
수시 장학제도 안내 알려줘,1
수시 장학제도 안내 알려주세요,1
수시 장학제도 안내 알려줘봐,1
수시 장학제도 안내 알려줘요,1
수시 장학제도 안내에 대해서 알려줘,1
수시 장학제도 안내에 대해서 알려주세요,1
수시 장학제도 안내에 관해서 알려줘,1
수시 장학제도 안내를 알려줘,1
수시 합격자 안내,1
수시 합격자 안내 알려줘,1
수시 합격자 안내 알려주세요,1
수시 합격자 안내 알려줘봐,1
수시 합격자 안내 알려줘요,1
수시 합격자 안내에 대해서 알려줘,1
수시 합격자 안내에 대해서 알려주세요,1
수시 합격자 안내에 관해서 알려줘,1
수시 합격자 안내를 알려줘,1
성적산출프로그램,1
성적산출프로그램 알려줘,1
성적산출프로그램 알려주세요,1
성적산출프로그램 알려줘봐,1
성적산출프로그램 알려줘요,1
성적산출프로그램에 대해서 알려줘,1
성적산출프로그램에 대해서 알려주세요,1
성적산출프로그램에 관해서 알려줘,1
성적산출프로그램를 알려줘,1
수시 전형일정,1
수시 전형일정 알려줘,1
수시 전형일정 알려주세요,1
수시 전형일정 알려줘봐,1
수시 전형일정 알려줘요,1
수시 전형일정에 대해서 알려줘,1
수시 전형일정에 대해서 알려주세요,1
수시 전형일정에 관해서 알려줘,1
수시 전형일정를 알려줘,1
수시 전형,1
수시 전형 알려줘,1
수시 전형 알려주세요,1
수시 전형 알려줘봐,1
수시 전형 알려줘요,1
수시 전형에 대해서 알려줘,1
수시 전형에 대해서 알려주세요,1
수시 전형에 관해서 알려줘,1
수시 전형를 알려줘,1
수시 일정,1
수시 일정 알려줘,1
수시 일정 알려주세요,1
수시 일정 알려줘봐,1
수시 일정 알려줘요,1
수시 일정에 대해서 알려줘,1
수시 일정에 대해서 알려주세요,1
수시 일정에 관해서 알려줘,1
수시 일정를 알려줘,1
수시 모집인원,1
수시 모집인원 알려줘,1
수시 모집인원 알려주세요,1
수시 모집인원 알려줘봐,1
수시 모집인원 알려줘요,1
수시 모집인원에 대해서 알려줘,1
수시 모집인원에 대해서 알려주세요,1
수시 모집인원에 관해서 알려줘,1
수시 모집인원를 알려줘,1
수시 모집,1
수시 모집 알려줘,1
수시 모집 알려주세요,1
수시 모집 알려줘봐,1
수시 모집 알려줘요,1
수시 모집에 대해서 알려줘,1
수시 모집에 대해서 알려주세요,1
수시 모집에 관해서 알려줘,1
수시 모집를 알려줘,1
수시 인원,1
수시 인원 알려줘,1
수시 인원 알려주세요,1
수시 인원 알려줘봐,1
수시 인원 알려줘요,1
수시 인원에 대해서 알려줘,1
수시 인원에 대해서 알려주세요,1
수시 인원에 관해서 알려줘,1
수시 인원를 알려줘,1
수시 일반,1
수시 일반 알려줘,1
수시 일반 알려주세요,1
수시 일반 알려줘봐,1
수시 일반 알려줘요,1
수시 일반에 대해서 알려줘,1
수시 일반에 대해서 알려주세요,1
수시 일반에 관해서 알려줘,1
수시 일반를 알려줘,1
수시 일반전형,1
수시 일반전형 알려줘,1
수시 일반전형 알려주세요,1
수시 일반전형 알려줘봐,1
수시 일반전형 알려줘요,1
수시 일반전형에 대해서 알려줘,1
수시 일반전형에 대해서 알려주세요,1
수시 일반전형에 관해서 알려줘,1
수시 일반전형를 알려줘,1
수시 일반1,1
수시 일반1 알려줘,1
수시 일반1 알려주세요,1
수시 일반1 알려줘봐,1
수시 일반1 알려줘요,1
수시 일반1에 대해서 알려줘,1
수시 일반1에 대해서 알려주세요,1
수시 일반1에 관해서 알려줘,1
수시 일반1를 알려줘,1
일반1,1
일반1 알려줘,1
일반1 알려주세요,1
일반1 알려줘봐,1
일반1 알려줘요,1
일반1에 대해서 알려줘,1
일반1에 대해서 알려주세요,1
일반1에 관해서 알려줘,1
일반1를 알려줘,1
수시 일반2,1
수시 일반2 알려줘,1
수시 일반2 알려주세요,1
수시 일반2 알려줘봐,1
수시 일반2 알려줘요,1
수시 일반2에 대해서 알려줘,1
수시 일반2에 대해서 알려주세요,1
수시 일반2에 관해서 알려줘,1
수시 일반2를 알려줘,1
일반2,1
일반2 알려줘,1
일반2 알려주세요,1
일반2 알려줘봐,1
일반2 알려줘요,1
일반2에 대해서 알려줘,1
일반2에 대해서 알려주세요,1
일반2에 관해서 알려줘,1
일반2를 알려줘,1
수시 지역,1
수시 지역 알려줘,1
수시 지역 알려주세요,1
수시 지역 알려줘봐,1
수시 지역 알려줘요,1
수시 지역에 대해서 알려줘,1
수시 지역에 대해서 알려주세요,1
수시 지역에 관해서 알려줘,1
수시 지역를 알려줘,1
수시 지역인재,1
수시 지역인재 알려줘,1
수시 지역인재 알려주세요,1
수시 지역인재 알려줘봐,1
수시 지역인재 알려줘요,1
수시 지역인재에 대해서 알려줘,1
수시 지역인재에 대해서 알려주세요,1
수시 지역인재에 관해서 알려줘,1
수시 지역인재를 알려줘,1
수시 지역인재전형,1
수시 지역인재전형 알려줘,1
수시 지역인재전형 알려주세요,1
수시 지역인재전형 알려줘봐,1
수시 지역인재전형 알려줘요,1
수시 지역인재전형에 대해서 알려줘,1
수시 지역인재전형에 대해서 알려주세요,1
수시 지역인재전형에 관해서 알려줘,1
수시 지역인재전형를 알려줘,1
지역,1
지역 알려줘,1
지역 알려주세요,1
지역 알려줘봐,1
지역 알려줘요,1
지역에 대해서 알려줘,1
지역에 대해서 알려주세요,1
지역에 관해서 알려줘,1
지역를 알려줘,1
지역인재,1
지역인재 알려줘,1
지역인재 알려주세요,1
지역인재 알려줘봐,1
지역인재 알려줘요,1
지역인재에 대해서 알려줘,1
지역인재에 대해서 알려주세요,1
지역인재에 관해서 알려줘,1
지역인재를 알려줘,1
지역인재전형,1
지역인재전형 알려줘,1
지역인재전형 알려주세요,1
지역인재전형 알려줘봐,1
지역인재전형 알려줘요,1
지역인재전형에 대해서 알려줘,1
지역인재전형에 대해서 알려주세요,1
지역인재전형에 관해서 알려줘,1
지역인재전형를 알려줘,1
수시 교과 지역인재,1
수시 교과 지역인재 알려줘,1
수시 교과 지역인재 알려주세요,1
수시 교과 지역인재 알려줘봐,1
수시 교과 지역인재 알려줘요,1
수시 교과 지역인재에 대해서 알려줘,1
수시 교과 지역인재에 대해서 알려주세요,1
수시 교과 지역인재에 관해서 알려줘,1
수시 교과 지역인재를 알려줘,1
교과 지역인재,1
교과 지역인재 알려줘,1
교과 지역인재 알려주세요,1
교과 지역인재 알려줘봐,1
교과 지역인재 알려줘요,1
교과 지역인재에 대해서 알려줘,1
교과 지역인재에 대해서 알려주세요,1
교과 지역인재에 관해서 알려줘,1
교과 지역인재를 알려줘,1
수시 종합 지역인재,1
수시 종합 지역인재 알려줘,1
수시 종합 지역인재 알려주세요,1
수시 종합 지역인재 알려줘봐,1
수시 종합 지역인재 알려줘요,1
수시 종합 지역인재에 대해서 알려줘,1
수시 종합 지역인재에 대해서 알려주세요,1
수시 종합 지역인재에 관해서 알려줘,1
수시 종합 지역인재를 알려줘,1
종합 지역인재,1
종합 지역인재 알려줘,1
종합 지역인재 알려주세요,1
종합 지역인재 알려줘봐,1
종합 지역인재 알려줘요,1
종합 지역인재에 대해서 알려줘,1
종합 지역인재에 대해서 알려주세요,1
종합 지역인재에 관해서 알려줘,1
종합 지역인재를 알려줘,1
수시 자기추천,1
수시 자기추천 알려줘,1
수시 자기추천 알려주세요,1
수시 자기추천 알려줘봐,1
수시 자기추천 알려줘요,1
수시 자기추천에 대해서 알려줘,1
수시 자기추천에 대해서 알려주세요,1
수시 자기추천에 관해서 알려줘,1
수시 자기추천를 알려줘,1
자기추천,1
자기추천 알려줘,1
자기추천 알려주세요,1
자기추천 알려줘봐,1
자기추천 알려줘요,1
자기추천에 대해서 알려줘,1
자기추천에 대해서 알려주세요,1
자기추천에 관해서 알려줘,1
자기추천를 알려줘,1
수시 농어촌학생,1
수시 농어촌학생 알려줘,1
수시 농어촌학생 알려주세요,1
수시 농어촌학생 알려줘봐,1
수시 농어촌학생 알려줘요,1
수시 농어촌학생에 대해서 알려줘,1
수시 농어촌학생에 대해서 알려주세요,1
수시 농어촌학생에 관해서 알려줘,1
수시 농어촌학생를 알려줘,1
수시 농어촌,1
수시 농어촌 알려줘,1
수시 농어촌 알려주세요,1
수시 농어촌 알려줘봐,1
수시 농어촌 알려줘요,1
수시 농어촌에 대해서 알려줘,1
수시 농어촌에 대해서 알려주세요,1
수시 농어촌에 관해서 알려줘,1
수시 농어촌를 알려줘,1
수시 특성화고교졸업자,1
수시 특성화고교졸업자 알려줘,1
수시 특성화고교졸업자 알려주세요,1
수시 특성화고교졸업자 알려줘봐,1
수시 특성화고교졸업자 알려줘요,1
수시 특성화고교졸업자에 대해서 알려줘,1
수시 특성화고교졸업자에 대해서 알려주세요,1
수시 특성화고교졸업자에 관해서 알려줘,1
수시 특성화고교졸업자를 알려줘,1
수시 특성화,1
수시 특성화 알려줘,1
수시 특성화 알려주세요,1
수시 특성화 알려줘봐,1
수시 특성화 알려줘요,1
수시 특성화에 대해서 알려줘,1
수시 특성화에 대해서 알려주세요,1
수시 특성화에 관해서 알려줘,1
수시 특성화를 알려줘,1
수시 기초생활수급자 및 차상위계층,1
수시 기초생활수급자 및 차상위계층 알려줘,1
수시 기초생활수급자 및 차상위계층 알려주세요,1
수시 기초생활수급자 및 차상위계층 알려줘봐,1
수시 기초생활수급자 및 차상위계층 알려줘요,1
수시 기초생활수급자 및 차상위계층에 대해서 알려줘,1
수시 기초생활수급자 및 차상위계층에 대해서 알려주세요,1
수시 기초생활수급자 및 차상위계층에 관해서 알려줘,1
수시 기초생활수급자 및 차상위계층를 알려줘,1
수시 기초생활수급자,1
수시 기초생활수급자 알려줘,1
수시 기초생활수급자 알려주세요,1
수시 기초생활수급자 알려줘봐,1
수시 기초생활수급자 알려줘요,1
수시 기초생활수급자에 대해서 알려줘,1
수시 기초생활수급자에 대해서 알려주세요,1
수시 기초생활수급자에 관해서 알려줘,1
수시 기초생활수급자를 알려줘,1
수시 기초생활,1
수시 기초생활 알려줘,1
수시 기초생활 알려주세요,1
수시 기초생활 알려줘봐,1
수시 기초생활 알려줘요,1
수시 기초생활에 대해서 알려줘,1
수시 기초생활에 대해서 알려주세요,1
수시 기초생활에 관해서 알려줘,1
수시 기초생활를 알려줘,1
수시 기초,1
수시 기초 알려줘,1
수시 기초 알려주세요,1
수시 기초 알려줘봐,1
수시 기초 알려줘요,1
수시 기초에 대해서 알려줘,1
수시 기초에 대해서 알려주세요,1
수시 기초에 관해서 알려줘,1
수시 기초를 알려줘,1
수시 차상위,1
수시 차상위 알려줘,1
수시 차상위 알려주세요,1
수시 차상위 알려줘봐,1
수시 차상위 알려줘요,1
수시 차상위에 대해서 알려줘,1
수시 차상위에 대해서 알려주세요,1
수시 차상위에 관해서 알려줘,1
수시 차상위를 알려줘,1
수시 교과지원방법,1
수시 교과지원방법 알려줘,1
수시 교과지원방법 알려주세요,1
수시 교과지원방법 알려줘봐,1
수시 교과지원방법 알려줘요,1
수시 교과지원방법에 대해서 알려줘,1
수시 교과지원방법에 대해서 알려주세요,1
수시 교과지원방법에 관해서 알려줘,1
수시 교과지원방법를 알려줘,1
수시 교과전형방법,1
수시 교과전형방법 알려줘,1
수시 교과전형방법 알려주세요,1
수시 교과전형방법 알려줘봐,1
수시 교과전형방법 알려줘요,1
수시 교과전형방법에 대해서 알려줘,1
수시 교과전형방법에 대해서 알려주세요,1
수시 교과전형방법에 관해서 알려줘,1
수시 교과전형방법를 알려줘,1
교과지원방법,1
교과지원방법 알려줘,1
교과지원방법 알려주세요,1
교과지원방법 알려줘봐,1
교과지원방법 알려줘요,1
교과지원방법에 대해서 알려줘,1
교과지원방법에 대해서 알려주세요,1
교과지원방법에 관해서 알려줘,1
교과지원방법를 알려줘,1
교과전형방법,1
교과전형방법 알려줘,1
교과전형방법 알려주세요,1
교과전형방법 알려줘봐,1
교과전형방법 알려줘요,1
교과전형방법에 대해서 알려줘,1
교과전형방법에 대해서 알려주세요,1
교과전형방법에 관해서 알려줘,1
교과전형방법를 알려줘,1
수시 종합지원방법,1
수시 종합지원방법 알려줘,1
수시 종합지원방법 알려주세요,1
수시 종합지원방법 알려줘봐,1
수시 종합지원방법 알려줘요,1
수시 종합지원방법에 대해서 알려줘,1
수시 종합지원방법에 대해서 알려주세요,1
수시 종합지원방법에 관해서 알려줘,1
수시 종합지원방법를 알려줘,1
수시 종합전형방법,1
수시 종합전형방법 알려줘,1
수시 종합전형방법 알려주세요,1
수시 종합전형방법 알려줘봐,1
수시 종합전형방법 알려줘요,1
수시 종합전형방법에 대해서 알려줘,1
수시 종합전형방법에 대해서 알려주세요,1
수시 종합전형방법에 관해서 알려줘,1
수시 종합전형방법를 알려줘,1
종합지원방법,1
종합지원방법 알려줘,1
종합지원방법 알려주세요,1
종합지원방법 알려줘봐,1
종합지원방법 알려줘요,1
종합지원방법에 대해서 알려줘,1
종합지원방법에 대해서 알려주세요,1
종합지원방법에 관해서 알려줘,1
종합지원방법를 알려줘,1
종합전형방법,1
종합전형방법 알려줘,1
종합전형방법 알려주세요,1
종합전형방법 알려줘봐,1
종합전형방법 알려줘요,1
종합전형방법에 대해서 알려줘,1
종합전형방법에 대해서 알려주세요,1
종합전형방법에 관해서 알려줘,1
종합전형방법를 알려줘,1
수시 지원방법,1
수시 지원방법 알려줘,1
수시 지원방법 알려주세요,1
수시 지원방법 알려줘봐,1
수시 지원방법 알려줘요,1
수시 지원방법에 대해서 알려줘,1
수시 지원방법에 대해서 알려주세요,1
수시 지원방법에 관해서 알려줘,1
수시 지원방법를 알려줘,1
수시 전형방법,1
수시 전형방법 알려줘,1
수시 전형방법 알려주세요,1
수시 전형방법 알려줘봐,1
수시 전형방법 알려줘요,1
수시 전형방법에 대해서 알려줘,1
수시 전형방법에 대해서 알려주세요,1
수시 전형방법에 관해서 알려줘,1
수시 전형방법를 알려줘,1
수시 학생부 반영비율,1
수시 학생부 반영비율 알려줘,1
수시 학생부 반영비율 알려주세요,1
수시 학생부 반영비율 알려줘봐,1
수시 학생부 반영비율 알려줘요,1
수시 학생부 반영비율에 대해서 알려줘,1
수시 학생부 반영비율에 대해서 알려주세요,1
수시 학생부 반영비율에 관해서 알려줘,1
수시 학생부 반영비율를 알려줘,1
수시 생기부 반영비율,1
수시 생기부 반영비율 알려줘,1
수시 생기부 반영비율 알려주세요,1
수시 생기부 반영비율 알려줘봐,1
수시 생기부 반영비율 알려줘요,1
수시 생기부 반영비율에 대해서 알려줘,1
수시 생기부 반영비율에 대해서 알려주세요,1
수시 생기부 반영비율에 관해서 알려줘,1
수시 생기부 반영비율를 알려줘,1
수시 생활기록부 반영비율,1
수시 생활기록부 반영비율 알려줘,1
수시 생활기록부 반영비율 알려주세요,1
수시 생활기록부 반영비율 알려줘봐,1
수시 생활기록부 반영비율 알려줘요,1
수시 생활기록부 반영비율에 대해서 알려줘,1
수시 생활기록부 반영비율에 대해서 알려주세요,1
수시 생활기록부 반영비율에 관해서 알려줘,1
수시 생활기록부 반영비율를 알려줘,1
수시 학교생활기록부 반영비율,1
수시 학교생활기록부 반영비율 알려줘,1
수시 학교생활기록부 반영비율 알려주세요,1
수시 학교생활기록부 반영비율 알려줘봐,1
수시 학교생활기록부 반영비율 알려줘요,1
수시 학교생활기록부 반영비율에 대해서 알려줘,1
수시 학교생활기록부 반영비율에 대해서 알려주세요,1
수시 학교생활기록부 반영비율에 관해서 알려줘,1
수시 학교생활기록부 반영비율를 알려줘,1
학생부 반영비율,1
학생부 반영비율 알려줘,1
학생부 반영비율 알려주세요,1
학생부 반영비율 알려줘봐,1
학생부 반영비율 알려줘요,1
학생부 반영비율에 대해서 알려줘,1
학생부 반영비율에 대해서 알려주세요,1
학생부 반영비율에 관해서 알려줘,1
학생부 반영비율를 알려줘,1
생기부 반영비율,1
생기부 반영비율 알려줘,1
생기부 반영비율 알려주세요,1
생기부 반영비율 알려줘봐,1
생기부 반영비율 알려줘요,1
생기부 반영비율에 대해서 알려줘,1
생기부 반영비율에 대해서 알려주세요,1
생기부 반영비율에 관해서 알려줘,1
생기부 반영비율를 알려줘,1
생활기록부 반영비율,1
생활기록부 반영비율 알려줘,1
생활기록부 반영비율 알려주세요,1
생활기록부 반영비율 알려줘봐,1
생활기록부 반영비율 알려줘요,1
생활기록부 반영비율에 대해서 알려줘,1
생활기록부 반영비율에 대해서 알려주세요,1
생활기록부 반영비율에 관해서 알려줘,1
생활기록부 반영비율를 알려줘,1
학교생활기록부 반영비율,1
학교생활기록부 반영비율 알려줘,1
학교생활기록부 반영비율 알려주세요,1
학교생활기록부 반영비율 알려줘봐,1
학교생활기록부 반영비율 알려줘요,1
학교생활기록부 반영비율에 대해서 알려줘,1
학교생활기록부 반영비율에 대해서 알려주세요,1
학교생활기록부 반영비율에 관해서 알려줘,1
학교생활기록부 반영비율를 알려줘,1
수시 등급컷,1
수시 등급컷 알려줘,1
수시 등급컷 알려주세요,1
수시 등급컷 알려줘봐,1
수시 등급컷 알려줘요,1
수시 등급컷에 대해서 알려줘,1
수시 등급컷에 대해서 알려주세요,1
수시 등급컷에 관해서 알려줘,1
수시 등급컷를 알려줘,1
수시 전년도 등급컷,1
수시 전년도 등급컷 알려줘,1
수시 전년도 등급컷 알려주세요,1
수시 전년도 등급컷 알려줘봐,1
수시 전년도 등급컷 알려줘요,1
수시 전년도 등급컷에 대해서 알려줘,1
수시 전년도 등급컷에 대해서 알려주세요,1
수시 전년도 등급컷에 관해서 알려줘,1
수시 전년도 등급컷를 알려줘,1
수시 전년도등급컷,1
수시 전년도등급컷 알려줘,1
수시 전년도등급컷 알려주세요,1
수시 전년도등급컷 알려줘봐,1
수시 전년도등급컷 알려줘요,1
수시 전년도등급컷에 대해서 알려줘,1
수시 전년도등급컷에 대해서 알려주세요,1
수시 전년도등급컷에 관해서 알려줘,1
수시 전년도등급컷를 알려줘,1
수시 작년도 등급컷,1
수시 작년도 등급컷 알려줘,1
수시 작년도 등급컷 알려주세요,1
수시 작년도 등급컷 알려줘봐,1
수시 작년도 등급컷 알려줘요,1
수시 작년도 등급컷에 대해서 알려줘,1
수시 작년도 등급컷에 대해서 알려주세요,1
수시 작년도 등급컷에 관해서 알려줘,1
수시 작년도 등급컷를 알려줘,1
수시 작년도등급컷,1
수시 작년도등급컷 알려줘,1
수시 작년도등급컷 알려주세요,1
수시 작년도등급컷 알려줘봐,1
수시 작년도등급컷 알려줘요,1
수시 작년도등급컷에 대해서 알려줘,1
수시 작년도등급컷에 대해서 알려주세요,1
수시 작년도등급컷에 관해서 알려줘,1
수시 작년도등급컷를 알려줘,1
수시 종합전형,1
수시 종합전형 알려줘,1
수시 종합전형 알려주세요,1
